"Plant Name, Unit Number",State,County,NRC Region,Licensee,Parent Company Utility Name,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Licensed MWt,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Years of Operation through 12/31/2019,STAR,class,
"Susquehanna Steam Electric Station, Unit 2",Pennsylvania,Salem Township,1,"Susquehanna Nuclear, LLC",Talen Energy Corporation,BWR-MARK 2,GE 4,BECH,BECH,3952,99%,86%,93%,82%,88%,80%,83%,72%,96%,90%,100%,35,0,0,1
"Three Mile Island Nuclear Station, Unit 1",Pennsylvania,Middletown,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",PWR-DRYAMB,B&W LLP,GIL,UE&C,2568,100%,80%,82%,77%,104%,78%,100%,92%,94%,86%,107%,45,0,1,1
Turkey Point Nuclear Generating Unit No. 3,Florida,Homestead,2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",PWR-DRYAMB,WEST 3LP,BECH,BECH,2644,89%,80%,93%,78%,84%,81%,40%,96%,88%,86%,101%,47,0,0,1
Turkey Point Nuclear Generating Unit No. 4,Florida,Homestead,2,Florida Power & Light Co.,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC",PWR-DRYAMB,WEST 3LP,BECH,BECH,2644,100%,98%,99%,106%,88%,70%,85%,84%,98%,99%,89%,46,0,1,1
"Virgil C. Summer Nuclear Station, Unit 1",South Carolina,Jenkinsville,2,South Carolina Electric & Gas Co.,South Carolina Electric & Gas Company,PWR-DRYAMB,WEST 3LP,GIL,DANI,2900,85%,77%,96%,79%,81%,93%,86%,88%,100%,81%,87%,37,0,0,1
"Vogtle Electric Generating Plant, Unit 1",Georgia,Waynesboro,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,PWR-DRYAMB,WEST 4LP,SBEC,GPC,"3625,6",93%,93%,101%,91%,87%,101%,91%,92%,102%,91%,93%,32,0,1,1
"Vogtle Electric Generating Plant, Unit 2",Georgia,Waynesboro,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,PWR-DRYAMB,WEST 4LP,SBEC,GPC,"3625,6",100%,96%,94%,100%,92%,87%,102%,94%,93%,101%,88%,30,0,1,1
"Waterford Steam Electric Station, Unit 3",Louisiana,Killona,4,"Entergy Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,COMB CE,EBSO,EBSO,3716,100%,80%,96%,80%,90%,89%,77%,82%,100%,87%,89%,34,0,0,1
"Watts Bar Nuclear Plant, Unit 1",Tennessee,Spring City,2,Tennessee Valley Authority ,Tennessee Valley Authority,PWR-ICECND,WEST 4LP,TVA,TVA,3459,87%,77%,85%,76%,89%,90%,87%,84%,99%,94%,82%,23,0,0,1
"Wolf Creek Generating Station, Unit 1",Kansas,Burlington,4,Wolf Creek Nuclear Operating Corp.,Wolf Creek Nuclear Operating Corporation,PWR-DRYAMB,WEST 4LP,BECH,DANI,3565,86%,96%,74%,78%,83%,65%,80%,72%,86%,86%,83%,34,1,0,1
